X,Y
5.015814218,6.6146831471
5.0136673361,6.6181162075
5.0105461589,6.6206681413
5.0064555261,6.6223540552
4.9902071005,6.6236314338
4.9871789088,6.623643607
3.5770030459,7.4948588793
3.5771001381,7.4944870102
3.5773873082,7.4933857396
3.5778538494,7.4915974169
3.5784817222,7.4891906814
3.5792467267,7.4862581153
3.5801195299,7.4829123573
3.5810666923,7.4792819959
3.5820515476,7.4755065095
7.7663210772,7.4948588793
7.766223985,7.4944870102
7.765936815,7.4933857396
7.7654702737,7.4915974169
7.764842401,7.4891906814
7.7640773965,7.4862581153
7.7632045932,7.4829123573
7.7622574308,7.4792819959
7.7612725756,7.4755065095
7.7663210772,6.7691462961
7.766223985,6.7695181651
7.765936815,6.7706194357
7.7654702737,6.7724077584
7.764842401,6.7748144939
7.7640773965,6.7777470601
7.7632045932,6.7810928181
7.7622574308,6.7847231795
7.7612725756,6.7884986659
3.5770030459,6.7691462961
3.5771001381,6.7695181651
3.5773873082,6.7706194357
3.5778538494,6.7724077584
3.5784817222,6.7748144939
3.5792467267,6.7777470601
3.5801195299,6.7810928181
3.5810666923,6.7847231795
3.5820515476,6.7884986659
2.7933989382,6.6193919727
2.7874223406,6.611812657
2.7845221874,6.6081285062
2.7845221874,7.6558766692
2.7916586116,7.6468187138
2.7933989382,7.6446132026
8.549925185,6.6193919727
8.5559017826,6.611812657
8.5588019358,6.6081285062
8.5588019358,7.6558766692
8.5516655115,7.6468187138
8.549925185,7.6446132026
3.2551054045,7.0159470992
3.2600364276,7.0543946159
3.260860538,7.065987052
8.0882187186,7.0159470992
8.0832876956,7.0543946159
8.0824635851,7.065987052
8.4361659658,6.5070025677
8.4312917021,6.5129080328
8.4270736175,6.5180095172
2.9071581574,6.5070025677
2.9120324211,6.5129080328
2.9162505057,6.5180095172
8.1584884002,7.2882674058
8.157991206,7.2888297377
8.1567823933,7.2901967285
8.1549065483,7.2923181457
8.1524326035,7.2951160367
8.149451198,7.2984876078
8.1460723303,7.3023089453
8.1424197858,7.3064396542
8.138628203,7.3107279364
8.1584884002,6.9757377695
8.157991206,6.9751754377
8.1567823933,6.9738084468
8.1549065483,6.9716870297
8.1524326035,6.9688891386
8.149451198,6.9655175676
8.1460723303,6.9616962301
8.1424197858,6.9575655211
8.138628203,6.953277239
3.1848357229,7.2882674058
3.1853329172,7.2888297377
3.1865417299,7.2901967285
3.1884175749,7.2923181457
3.1908915197,7.2951160367
3.1938729252,7.2984876078
3.1972517928,7.3023089453
3.2009043373,7.3064396542
3.2046959202,7.3107279364
3.1848357229,6.9757377695
3.1853329172,6.9751754377
3.1865417299,6.9738084468
3.1884175749,6.9716870297
3.1908915197,6.9688891386
3.1938729252,6.9655175676
3.1972517928,6.9616962301
3.2009043373,6.9575655211
3.2046959202,6.953277239
8.0824635851,7.1980181234
8.0853806048,7.1966071697
8.087989188,7.195177067
8.0902470952,7.193750961
8.0921178069,7.1923519284
8.0935712568,7.1910026107
8.0945835385,7.189724838
8.0951386654,7.18853929
8.0952273977,7.1874651478
8.0824635851,7.065987052
8.0853806048,7.0673980057
8.087989188,7.0688281083
8.0902470952,7.0702542143
8.0921178069,7.0716532469
8.0935712568,7.0730025647
8.0945835385,7.0742803374
8.0951386654,7.0754658854
8.0952273977,7.0765400276
3.260860538,7.1980181234
3.2579435184,7.1966071697
3.2553349352,7.195177067
3.253077028,7.193750961
3.2512063162,7.1923519284
3.2497528664,7.1910026107
3.2487405847,7.189724838
3.2481854578,7.18853929
3.2480967255,7.1874651478
3.260860538,7.065987052
3.2579435184,7.0673980057
3.2553349352,7.0688281083
3.253077028,7.0702542143
3.2512063162,7.0716532469
3.2497528664,7.0730025647
3.2487405847,7.0742803374
3.2481854578,7.0754658854
3.2480967255,7.0765400276
8.0882187186,7.2480580762
8.0932201409,7.2452734767
8.0980376452,7.2425911943
8.1024943537,7.2401098063
8.1064265883,7.2379204741
8.1096897373,7.2361036526
8.1121638287,7.234726111
8.1137580769,7.2338384579
8.1144139627,7.233473308
8.1144139627,7.233473308
8.0996301335,7.2010586991
8.0952273977,7.1874651478
3.2289101605,7.233473308
3.2436939897,7.2010586991
3.2480967255,7.1874651478
3.2551054045,7.2480580762
3.2501039823,7.2452734767
3.2452864779,7.2425911943
3.2408297694,7.2401098063
3.2368975349,7.2379204741
3.2336343859,7.2361036526
3.2311602945,7.234726111
3.2295660462,7.2338384579
3.2289101605,7.233473308
3.2289101605,7.0305318674
3.2295660462,7.0301667174
3.2311602945,7.0292790644
3.2336343859,7.0279015228
3.2368975349,7.0260847013
3.2408297694,7.023895369
3.2452864779,7.021413981
3.2501039823,7.0187316987
3.2551054045,7.0159470992
3.2480967255,7.0765400276
3.2448850559,7.0663327001
3.2289101605,7.0305318674
8.0952273977,7.0765400276
8.0984390672,7.0663327001
8.1144139627,7.0305318674
8.1144139627,7.0305318674
8.1137580769,7.0301667174
8.1121638287,7.0292790644
8.1096897373,7.0279015228
8.1064265883,7.0260847013
8.1024943537,7.023895369
8.0980376452,7.021413981
8.0932201409,7.0187316987
8.0882187186,7.0159470992
2.9162505057,7.7459956581
2.9120324211,7.7510971425
2.9071581574,7.7570026076
8.4270736175,7.7459956581
8.4312917021,7.7510971425
8.4361659658,7.7570026076
11.9081122802,3.5897781214
11.8990550032,3.5906880309
11.8910053695,3.5938769674
12.4391806452,3.5697781524
12.4482379223,3.568868243
12.456287556,3.5656793798
11.9585294828,3.196749215
11.9517095799,3.1981809952
11.9495065987,3.198803258
11.9496088241,3.1987574618
12.4236464597,3.6455649303
12.362706797,3.6274903791
12.2986464612,3.6205649324
12.4236464597,3.7835649361
12.362706797,3.8016394873
12.2986464612,3.808564934
12.1736464627,3.7835649361
12.1127068,3.8016394873
12.0486464642,3.808564934
12.1736464627,3.6455649303
12.1127068,3.6274903791
12.0486464642,3.6205649324
12.4623215912,3.7835649361
12.427138076,3.8016394873
12.4216154615,3.802673622
11.9236464657,3.8021017753
11.9178437761,3.800767564
11.8849713342,3.7835649361
12.5486464673,3.4920609702
12.548645734,3.4918471327
12.5458829693,3.4791597326
12.537538979,3.4680545542
12.5171503845,3.4605649608
11.8301425409,3.4605649608
11.8097539464,3.4680545542
11.8014949118,3.4789722214
11.7986471914,3.4918471327
11.7986464581,3.4920609702
11.5486464428,2.808564946
11.5545519079,2.9776739491
11.5596533923,3.1237619049
12.7876395331,3.1237619049
12.7927410175,2.9776739491
12.7986464827,2.808564946
12.5486464673,3.5270688725
12.5486456974,3.5271979377
12.5418716456,3.5373803734
12.5365027543,3.538564913
11.8107901711,3.538564913
11.8054212798,3.5373803734
11.7986472281,3.5271979377
11.7986464581,3.5270688725
11.6610358478,3.1190966388
11.653456532,2.9101476451
11.6497723812,2.808564946
12.6975205442,2.808564946
12.6884625888,3.0582988561
12.6862570777,3.1190966388
11.609711284,3.2078216138
11.6095613191,3.2075990497
11.608532171,3.2050090563
